"id","lambda","alpha","beta","prime_pure","ageph","sex","power","long","lat"
1,0.130889910231116,0.794237363338112,0.00119230406890062,87.190558097633,35,"male",66,5.52064010755127,50.8719205911985
2,0.119590870455726,0.80666173550219,0.00100695444947973,95.8031211460231,46,"male",68,4.43139190175346,50.9119685670781
7,0.0936862438761673,0.801445275996996,0.000944875041146801,79.4648967437285,68,"male",55,4.23104105710746,51.0959392503027
9,0.132488204289565,1.12512241674075,0.00162891623661239,91.5120404901388,67,"male",43,5.25512809509581,50.6945616991522
15,0.12026505825188,0.833854614500022,0.00099185494857063,101.107096285564,59,"male",51,4.33247075256287,50.8301343143514
16,0.100538549548033,1.5861433566591,0.0015119380019744,105.472944158761,84,"female",34,5.50056737527412,50.5831880293416
21,0.14818225819972,0.761609502616446,0.00129630545437351,87.0605115355417,34,"female",33,4.42199154955779,50.9306576039942
22,0.107781861353101,0.710312032529454,0.00093765609514883,81.6490751818524,55,"male",96,4.83082554179662,50.8356809031453
26,0.1044126529436,0.873595427783686,0.000961366535947421,94.8799576473738,47,"male",100,3.58020152768399,50.5126807787816
27,0.111485592579273,1.04897099278039,0.00110967558147241,105.386794736366,48,"male",93,4.1660211675673,50.4679258787816
28,0.10732870504234,0.98893094368892,0.00131913350073265,80.4624228734091,63,"male",97,4.56520337334291,50.4052922735875
30,0.138708424853968,0.744629175646578,0.00119688389291491,86.2960397960577,39,"male",66,4.69382231712294,50.5674812856238
32,0.138672987108261,0.862924318697354,0.00112767557212876,106.115886412462,37,"female",40,4.07913037498227,51.0282144116403
34,0.103430900450981,0.692333213082653,0.00095595004753299,74.9083572160066,41,"female",60,4.41303607280838,50.2515397228077
35,0.142382601714062,0.779616340195972,0.00117173939541157,94.7342073592294,39,"female",81,4.35680128300751,51.0545076643261
47,0.235612167542522,0.805699589045219,0.00195926573187451,96.8896783497778,27,"male",58,5.67107874216284,50.618767575423
53,0.11133885994159,1.02625689613435,0.00139220943410761,82.0726178285339,35,"male",78,5.29958750456393,50.5534953904984
54,0.116924469618168,1.07204788701226,0.00126046762175464,99.4461328722542,45,"male",78,4.08024325953923,50.4333637353578
56,0.117920572484816,0.696633391198318,0.000913014219689034,89.9738542189663,33,"male",55,3.2647604444955,50.8160163165965
