"id","lambda","alpha","beta","prime_pure","ageph","sex","power","long","lat"
6,0.118339929259895,1.33236713350963,0.00120908880070883,130.405833082982,51,"male",81,5.51425896566261,50.6328884237534
8,0.318738002252516,0.690915919897655,0.000763641944455008,288.382744860622,43,"female",49,4.3126036782253,50.8145607344824
14,0.163763089689036,0.792349505691217,0.000960005078232393,135.163454973061,71,"male",74,4.41954240929658,50.8485277474009
24,0.13239802724844,0.842306003821492,0.000953118851019078,117.004981200661,52,"male",66,4.2756250626788,50.4623025673164
33,0.125106632925583,0.828977147043777,0.000830931685458378,124.81235395626,53,"male",55,3.84548620536013,51.1035095267499
36,0.111860674989458,1.37231925983484,0.00123214168994653,124.586774361007,68,"male",33,4.6645370866217,50.4722649921733
38,0.176014544150363,0.770264465440879,0.000762162917463825,177.885522443086,34,"male",47,3.80569071708695,50.451201313501
39,0.186729271034844,1.26897975213339,0.0012101724856945,195.803215553905,74,"male",66,4.85818540668705,50.4620030651056
44,0.137772490718822,0.745922588637624,0.000744267502753116,138.078866187076,43,"female",140,5.56362704715962,50.9331930115578
46,0.18236952761527,1.04928012988596,0.00143862602855768,133.013526673947,33,"male",110,5.42923359281155,50.5974461281429
49,0.29785891951785,0.786154069501765,0.000767044993911236,305.279355937566,26,"male",44,3.9567613947591,50.4569048505571
50,0.125967558908619,0.764548647490565,0.000764401343379023,125.991833511887,49,"female",60,4.34681694963428,50.6925313743915
52,0.140841569009117,0.802599484071229,0.000942281083824493,119.963535894937,60,"female",33,4.42199154955779,50.9306576039942
55,0.189361061234133,0.809044954279093,0.000534888347996687,286.417925726358,34,"male",50,3.37582731451015,50.5925185407709
57,0.152203945593311,0.899863980724727,0.00112578173549036,121.660215338233,45,"male",69,3.14393539099691,51.1320590884755
59,0.197254443642846,0.676794235458521,0.000814626824978848,163.87954126053,38,"female",55,4.37305172273991,50.941116827219
61,0.15398455011863,0.710763496139636,0.000917785875970247,119.250688051942,50,"male",40,3.70660884472355,51.0590759805841
63,0.139326957680018,1.08263352949473,0.0011305788605778,133.418411759257,29,"male",67,5.11079351536226,50.2700800392335
64,0.180197570459869,0.68334040546986,0.000884579194221192,139.203229814989,43,"male",44,3.70660884472355,51.0590759805841
72,0.0808930460268636,1.01588966292215,0.000660177136714322,124.479332425802,73,"male",40,5.14893967627266,51.1006370348867
73,0.11542531717094,1.03148453820945,0.00102505769506333,116.149003664024,43,"male",40,5.14094542520789,51.2342635276529
74,0.13828576071355,1.03148992251605,0.00114668596123713,124.393577165279,24,"female",37,4.18292844859139,50.3215681196528
79,0.12310403513082,0.943976796138863,0.000764858889863471,151.933061398163,23,"male",44,4.34955262090934,50.7902360699353
82,0.134514069610646,0.718374108002976,0.000841566791246413,114.823238957993,47,"male",43,4.31346959394749,50.9444632599039
83,0.18071029441949,0.584711337982768,0.000944131776018553,111.915900641399,34,"male",43,5.84419842219759,50.5851528730638
89,0.290570182427454,0.936403809685698,0.000956615190974867,284.431010894625,43,"male",50,4.28110524587358,50.8295104693713
92,0.168034906699082,0.687515373598112,0.000724503240977895,159.456266200841,32,"male",55,4.66949129036573,50.3939221258473
94,0.0961832874820901,1.66812989520277,0.00132728785780217,120.882758268758,91,"male",45,3.72111622048098,50.5353140543811
103,0.325923099566635,0.893050049839929,0.00110836596817695,262.607882837394,44,"male",65,4.39185313648323,50.7105409029163
104,0.36943377141447,0.727859542638213,0.000931478483167172,288.676443692567,45,"female",66,4.41954240929658,50.8485277474009
115,0.161183166786421,0.889899111078331,0.000802989500151524,178.628433892299,31,"male",33,2.99189773990148,50.8670050782708
117,0.184606925818524,0.756023761087683,0.000862929585184937,161.7365133567,45,"female",35,4.52101596897939,50.7719319888291
119,0.244576225860317,0.733037176326754,0.00114309511993629,156.840373888827,43,"female",44,4.03614560715801,50.5910847883396
121,0.175606898531789,0.70350703000982,0.000829399381623519,148.951989080952,47,"male",40,4.34681694963428,50.6925313743915
136,0.152866417283057,0.755427722250204,0.00103827611253011,111.222369486363,35,"female",47,4.42120677431875,51.1567505132737
138,0.140768684907559,1.08646757564602,0.0013561733355072,112.773646121862,47,"male",43,5.42789498806051,50.638276659116
142,0.172201761995663,0.802801866873232,0.000784763927554299,176.159850312963,54,"female",40,3.70660884472355,51.0590759805841
146,0.127069428037654,1.15194113149586,0.0010890923443839,134.402285965046,64,"male",90,3.80569071708695,50.451201313501
153,0.256216107287517,1.53302048040344,0.00155939893769839,251.882010680822,30,"male",40,5.70029294848639,51.0365035978357
154,0.192479560207993,0.691002704560967,0.000619402449065609,214.729368405097,45,"male",103,5.20488167274324,50.8121437884581
156,0.130225814779287,0.974054785284484,0.00104554179014558,121.321863218565,47,"male",41,5.25512809509581,50.6945616991522
158,0.282541039913047,1.10934998412623,0.000992667852258512,315.752038740267,20,"male",40,4.07913037498227,51.0282144116403
159,0.145091234421924,0.873487911727094,0.0010824357789797,117.083564518325,52,"male",48,4.51652466320313,50.4715576705688
161,0.12589724629729,0.859204320047535,0.000853394110886906,126.754399310655,64,"male",85,3.55047915443394,51.1948475542053
164,0.306627957847408,0.896955388977662,0.00116049344664532,236.995391914958,35,"female",39,4.41954240929658,50.8485277474009
168,0.239267717734361,0.924041113947073,0.000877594815252473,251.930850757393,19,"male",66,5.07758442006225,50.5510861548382
176,0.138474312948776,0.648553742182906,0.000720470841265896,124.651864746308,33,"female",40,4.18906639134992,50.9113683404851
177,0.143812901406435,0.771659180412274,0.000995083790548485,111.5228151499,36,"male",63,3.59560780591428,50.7501996312453
184,0.155579363611978,0.728319319478784,0.000835652885176912,135.596320243458,33,"male",51,3.96768704125848,51.0367090932556
186,0.155953495353491,0.948692660148158,0.00127153579101737,116.356879146853,50,"female",49,4.28506810584581,50.3448185973398
188,0.186960268840783,0.707944863800234,0.000849986754093878,155.71720550121,47,"female",60,4.29736955586532,50.8750210648933
191,0.116944888867695,0.822877878977952,0.000795269511426592,121.004716924376,71,"female",66,4.38714643615594,51.2160423671088
192,0.311406032607528,0.751493938513617,0.000837367326834017,279.470834867574,39,"female",48,4.39673657191953,50.8706355187769
194,0.264232283007369,0.800895245844283,0.00110840793442002,190.924634051736,24,"male",75,3.31481540441044,51.3336599920086
198,0.212845147963329,1.00281044775757,0.00116762481519098,182.801303428294,30,"male",51,5.21146679055849,50.5091583544324
199,0.133793552828954,0.902907596719682,0.00106759514516273,113.154519097185,59,"male",48,5.80594597575613,50.5107761125688
202,0.148602730065325,0.804521414257204,0.000646415582080641,184.949252259396,39,"female",85,5.31423448899072,50.6499586125682
206,0.14135060443853,1.07055936525046,0.000900723712999416,168.002919409739,37,"male",51,2.9141331178341,51.2104512001652
207,0.136993053523744,0.849758105730601,0.00107067773501013,108.726420522312,39,"female",70,3.90010633286839,50.5708908146332
209,0.306795318622549,0.811481638041601,0.00133332018943569,186.720916454951,41,"male",40,4.33247075256287,50.8301343143514
218,0.170739711553284,0.825267992404484,0.000775774670592623,181.63266257412,28,"male",54,3.59819987022388,50.9575395049655
220,0.120429262853509,0.708153795318336,0.00072317015783091,117.928593476395,39,"female",55,3.12220097428269,50.9370076223797
222,0.243505691747904,1.09548629357202,0.000751191756615193,355.111920980852,26,"male",55,4.30952489788231,50.8821398068034
223,0.160527239846056,0.800794212241381,0.000990580485931903,129.771670653164,29,"male",65,4.38714643615594,51.2160423671088
225,0.174620407734659,1.69149672523424,0.00171448443304756,172.279107438271,73,"female",33,4.51652466320313,50.4715576705688
226,0.28384055431101,0.762273443707374,0.00112351916271891,192.577148639693,27,"male",64,4.03614560715801,50.5910847883396
229,0.153646537912349,0.851560933948559,0.000619980096662259,211.038047877654,25,"male",47,5.4832211954726,50.9677120945291
230,0.177592412202612,0.783222254002998,0.000829720356387124,167.640010647469,32,"female",66,4.16179244623246,50.5608390223111
232,0.237566160585794,0.773858964832499,0.000821509019646321,223.786591155508,29,"male",55,3.87931332527628,50.8650745658517
235,0.135165772756771,0.65651708813697,0.000649549266040992,136.615718291734,47,"male",55,5.64980991250895,50.6294126673641
239,0.125897690350084,1.14366401673984,0.00119661676943922,120.326458663556,57,"female",33,5.20488167274324,50.8121437884581
242,0.275012235003921,0.859441706527878,0.00109679318739761,215.498224536411,22,"male",60,4.05710572925494,50.8847370606765
246,0.118093284677799,0.770022711884084,0.000825836429646168,110.112012571132,54,"male",66,3.9567613947591,50.4569048505571
247,0.17938689299636,0.857674220868734,0.00121013384822743,127.139253157888,27,"female",44,4.55538599002718,50.6720754974774
248,0.159674291954418,0.634094351522463,0.000626685175100834,161.562089920755,31,"female",61,4.03509617936571,50.9422882825979
249,0.171399821611994,1.26493453641952,0.00105634497692789,205.245027551218,29,"female",77,5.79271200231588,49.5665611096009
250,0.191669804099427,0.923865252700556,0.000908512498603036,194.908790216605,22,"female",33,4.07867125344528,50.8351161974922
251,0.170326022671567,0.786547353573968,0.00081231552961455,164.922960959112,47,"male",55,6.00026274026012,50.726174329429
255,0.110888219504477,1.29862895953841,0.00120251406383656,119.751325536046,80,"male",40,5.64980991250895,50.6294126673641
257,0.273097231023663,0.832034191401109,0.000861515445808225,263.751781693809,27,"male",91,4.35680128300751,51.0545076643261
260,0.0806973839045405,0.894040919253335,0.000640668629523006,112.611668439377,58,"male",55,5.25397346354386,51.1214896780971
262,0.265158774737275,0.904764223006218,0.00101378599385739,236.643802786843,56,"male",85,4.31248201567497,50.5920632481106
263,0.21844665724058,0.842986024432005,0.000944749307998665,194.91676530337,28,"male",40,3.21146030365927,50.7436010825715
265,0.175186603783263,0.767787559451512,0.00108206951988431,124.304485521163,33,"female",53,3.20141248588086,51.2341856537094
270,0.142110003629146,0.822359201159691,0.00105005272924856,111.294857682906,32,"female",37,4.31248201567497,50.5920632481106
271,0.193656224374779,0.939971548902476,0.000652797271819151,278.848195356116,29,"male",85,3.12220097428269,50.9370076223797
